,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
AL,1.0,0.9479241852602985,0.9391736547067989,0.9951898287470654,0.9432366597253355,0.9618238769234237,0.9521836661872174,0.9829321682494585,0.9311496227695938,0.9787293806443617,0.9450996261357938,0.9825901656753094,0.9837117402775757,0.984193718735206,0.9855793554058334,0.9895275704449882,0.9942975518181981,0.9670800958155873,0.9774128254755572,0.970437076990635,0.971595888009165,0.906021221513459,0.9769859928116956,0.9966734542624721,0.9939716106814502,0.9737834447708631,0.9863546290101243,0.8761490454422319,0.9608354337208191,0.9718808815549269,0.9933030891418729,0.9785398380239281,0.9981755645103096,0.9022431595926287,0.9694695080051783,0.9481767091059158,0.976141570477501,0.9875613686607848,0.9554949044840965,0.9980666075462064,0.9758441513725634,0.9934629415844706,0.9372607141553703,0.9783651407556191,0.9793845581933535,0.9760713458221841,0.9831812262037993,0.98263253759991,0.9914192420995164,0.9481713036373842
AK,0.9479241852602985,1.0,0.9137397438601327,0.9689576501638976,0.9246870069901066,0.9595314816597034,0.8833106507416753,0.9381753896870472,0.9046928436283889,0.9037215267732842,0.9488507338285396,0.9553155244809243,0.9011787482411509,0.9067798746841865,0.9560283235974653,0.9658682348184854,0.9483742153064555,0.9927625987957416,0.942346910851306,0.9454749587555821,0.9328886933231754,0.7778627716857094,0.9371274185305326,0.9641543796569032,0.9410128704555774,0.9826239222223349,0.9550691921151663,0.807796424687322,0.9154844610708737,0.9289150491503839,0.9631498170449059,0.9456863926350773,0.9441675497042089,0.9633461344464638,0.8657162063279912,0.9888696824124484,0.9607148949485963,0.9522229971915197,0.8974435054111473,0.9531376987564392,0.975483096702299,0.9597091219475725,0.9777069202108978,0.9649369032481284,0.9568517042517016,0.9632358814917156,0.9597415472413934,0.9734790141266365,0.9325966830689926,0.9877522411612931
AZ,0.9391736547067989,0.9137397438601327,1.0,0.9381292442558175,0.9776915078336329,0.9214700567604798,0.9151398970459171,0.9483940598495267,0.9945913786208421,0.9510644256654529,0.9206715611917352,0.9664461133487203,0.9469659668099831,0.9022555345537621,0.9155566310151573,0.9290307072732652,0.9202134147418731,0.9270892530878672,0.937811998613437,0.9652671108865188,0.9364502562717769,0.8671327453599953,0.9601843440057554,0.9399289731547151,0.9487863525570809,0.931199874210562,0.9174603730150914,0.9653840044661195,0.9420812251066213,0.947246205679424,0.9437259579486253,0.9346922309904714,0.9316983746904625,0.8526273956824427,0.8962434676878536,0.9056452838280764,0.9564352819615008,0.9305326792499881,0.9463042395493075,0.9439636971039432,0.9106633055385523,0.9351307188803188,0.8997247696666089,0.938863840310919,0.9263123690211998,0.9595715792416672,0.9581934214040194,0.9224566837771898,0.9369427826856197,0.9129760544607955
AR,0.9951898287470654,0.9689576501638976,0.9381292442558175,1.0,0.9468321540766472,0.9736803575869806,0.9431744171698463,0.9776942658732913,0.9299905042367492,0.9692600181656135,0.9523064737127388,0.9808153016112527,0.9710873030231061,0.977922575835761,0.9900335654572193,0.9952659891212989,0.994330613436079,0.98285143555357,0.9775628129156021,0.9702226874842049,0.9732943174480653,0.8893969755845875,0.9778278304152056,0.9977028149792837,0.9915328950764865,0.983596511414286,0.9914389400150374,0.8652393292773463,0.9597137854210346,0.9683578597530185,0.9929331094324201,0.9787495524460457,0.9934357539621229,0.9288969123049107,0.9567383023374125,0.9698255694299771,0.9783980448030117,0.9869413802195555,0.9495970233832353,0.9949708216804083,0.9865816660932589,0.9949574970105187,0.9587675585689903,0.9823438725498922,0.9822305098160815,0.9805539989672063,0.9828506935996074,0.990988327787768,0.9865969458284242,0.965283007839382
CA,0.9432366597253355,0.9246870069901066,0.9776915078336329,0.9468321540766472,1.0,0.9407712701279661,0.937952327985112,0.966011117138869,0.9864759209093555,0.9534202703155688,0.9537142156095277,0.9566880783983056,0.9523083281212048,0.9165613997212385,0.9328374435940856,0.9432393046479991,0.9380915591093436,0.9330924004275685,0.9683239110487935,0.9796298992834255,0.9677247378356406,0.8728611891048201,0.9724893181879115,0.9427436659031788,0.9596573328666602,0.942352974743676,0.9328596575921638,0.9442735363324289,0.9673743084767032,0.9662543409977864,0.9398816082931645,0.9631629339274627,0.941158871941452,0.8884235644410983,0.90593268353805,0.9125197965805396,0.9578031919283486,0.9567251164979061,0.9728540413924844,0.9529659717360596,0.9336463937282604,0.947975839080068,0.9206629191767809,0.9318001950705942,0.9567566052500922,0.9795589721811572,0.9665010722127745,0.9387068570977496,0.9455204585839925,0.9226893069220616
CO,0.9618238769234237,0.9595314816597034,0.9214700567604798,0.9736803575869806,0.9407712701279661,1.0,0.8802359483314153,0.9309230411654338,0.9138331957620884,0.9559390217127811,0.9314700363636552,0.962907160238181,0.9333531562616001,0.9582912425231558,0.9831498340736763,0.9868480914330676,0.9762898944053182,0.9743710747998935,0.9444552673139387,0.9298933145481825,0.9543082595988555,0.8879193978415152,0.9696644844644589,0.9698224707030794,0.9697260445223538,0.9748886889152492,0.9864292613016463,0.841938263343475,0.9302962382312348,0.9208597065431753,0.9490609801390169,0.9421393304208238,0.9666443225101337,0.9541384112118838,0.9320848624095669,0.9686586873448149,0.9765760746864436,0.9483867742278369,0.9069344543327027,0.9704928698721359,0.9863942646205983,0.9816557797368697,0.9794102396298607,0.9789472310507549,0.945074773460351,0.9516745931957051,0.9734151484097765,0.9759005874787688,0.9629318108870925,0.9589215098586845
CT,0.9521836661872174,0.8833106507416753,0.9151398970459171,0.9431744171698463,0.937952327985112,0.8802359483314153,1.0,0.97950664977421,0.9230788936030645,0.9446498843414799,0.9107651147612273,0.9141279255725874,0.9585162249647261,0.92183931364101,0.9085508577488902,0.9266043624427354,0.9357239922676189,0.8953767430291245,0.9817907345260303,0.966727809478935,0.9760149510927549,0.8595178410853501,0.9428749542069119,0.94337086382508,0.9571450664089702,0.9014965468326204,0.911238933495181,0.8764225433993207,0.9858761925577644,0.9890332835142008,0.9469380772586755,0.9820994274944701,0.9506816208555119,0.8177844373033736,0.9185066894531576,0.8697785525530177,0.899213742585321,0.968482053652219,0.987565991654773,0.9526888456898985,0.9016209075887632,0.9360755543974951,0.8634626910597469,0.8864292959104113,0.9671166276473059,0.960681782525597,0.9225809193809423,0.9135909233259041,0.9386495947528641,0.8710072573311497
DE,0.9829321682494585,0.9381753896870472,0.9483940598495267,0.9776942658732913,0.966011117138869,0.9309230411654338,0.97950664977421,1.0,0.9523401659426659,0.9605132350569505,0.9621294347845216,0.9693519442740716,0.9796202814766363,0.950047379749581,0.9575712580231368,0.9646919999074245,0.9705986859888126,0.9486664176772396,0.9932335079685881,0.9943461265151212,0.9797838572447839,0.8677185027914937,0.9707369787042531,0.9784351474372205,0.9803418202675301,0.9615769427275231,0.9533902263366676,0.8946053704613111,0.9789542037822363,0.9955086791708971,0.983126013993285,0.9936021085527272,0.9790556362654202,0.8843045554237622,0.9364283634252811,0.9215939144579871,0.9612828858364323,0.9941152217211591,0.9858942329979156,0.9835867527110105,0.9542520506598715,0.9723228665103584,0.9124733722712847,0.9480273326655838,0.9920554083955847,0.9920148169546761,0.9752056597344063,0.9653688971578906,0.9743627482585832,0.9385834181665177
FL,0.9311496227695938,0.9046928436283889,0.9945913786208421,0.9299905042367492,0.9864759209093555,0.9138331957620884,0.9230788936030645,0.9523401659426659,1.0,0.9461805073274767,0.922073462636571,0.9558942510289469,0.9491075621695353,0.8947471543254425,0.9081177810116302,0.9209718430796727,0.9141058366860363,0.9154409947567778,0.943696461614796,0.9706484331590743,0.9425685481418602,0.86589211407581,0.9621786599147976,0.9301671711320326,0.9461146399644701,0.922849302275877,0.908498654385955,0.9725983088895143,0.9503266639416934,0.9544548630821976,0.9347917959125177,0.9393616441509032,0.9238881654746044,0.8404066460970051,0.8924249350735992,0.8916746199418678,0.9486061224478538,0.9314587934450587,0.9605331282212497,0.9376579874357204,0.9023026799167664,0.9262702463438782,0.8872089647639224,0.922215170175991,0.9286254251318179,0.9625106425224561,0.9529765452735155,0.9138353004690762,0.9352921553220624,0.9030936137286255
GA,0.9787293806443617,0.9037215267732842,0.9510644256654529,0.9692600181656135,0.9534202703155688,0.9559390217127811,0.9446498843414799,0.9605132350569505,0.9461805073274767,1.0,0.9081375020245264,0.9620150622297855,0.9825878898642638,0.9779912791708204,0.9593174684074807,0.9700229648871905,0.9743873872339825,0.9285586030668831,0.9605053588014302,0.9482780306201166,0.971961342053024,0.9549308240446297,0.981432736114678,0.9711032692323617,0.988979627943501,0.9326881156724317,0.9698207473093667,0.9205117384131772,0.9653284347308915,0.9555277545469019,0.9584532323698115,0.9585100736714798,0.981720024672103,0.8560904741371645,0.9792864537141522,0.9143709155737444,0.9542245421768542,0.9570890865671996,0.9562393663922847,0.9825094318217925,0.9417913856088984,0.975366539498248,0.9171413801492075,0.9516208697556464,0.9446247714022347,0.9513365878974273,0.9635957575351101,0.9434235089473116,0.9776901470580769,0.8956989624352005
